adc,lut_index,lut_value,ratio,gene_samples,gene_ms,mode
0,,,,,,whole_splice
1,,,,,,whole_splice
2,,,,,,whole_splice
3,,,,,,whole_splice
4,,,,,,whole_splice
5,,,,,,whole_splice
6,,,,,,whole_splice
7,,,,,,whole_splice
8,,,,,,whole_splice
9,,,,,,whole_splice
10,,,,,,whole_splice
11,,,,,,whole_splice
12,,,,,,whole_splice
13,,,,,,whole_splice
14,,,,,,whole_splice
15,,,,,,whole_splice
16,,,,,,whole_splice
17,,,,,,whole_splice
18,,,,,,whole_splice
19,,,,,,whole_splice
20,,,,,,whole_splice
21,,,,,,whole_splice
22,,,,,,whole_splice
23,,,,,,whole_splice
24,,,,,,whole_splice
25,,,,,,whole_splice
26,,,,,,whole_splice
27,,,,,,whole_splice
28,,,,,,whole_splice
29,,,,,,whole_splice
30,,,,,,whole_splice
31,,,,,,whole_splice
32,,,,,,whole_splice
33,,,,,,whole_splice
34,,,,,,whole_splice
35,,,,,,whole_splice
36,,,,,,whole_splice
37,,,,,,whole_splice
38,,,,,,whole_splice
39,,,,,,whole_splice
40,,,,,,whole_splice
41,,,,,,whole_splice
42,,,,,,whole_splice
43,,,,,,whole_splice
44,,,,,,whole_splice
45,,,,,,whole_splice
46,,,,,,whole_splice
47,,,,,,whole_splice
48,,,,,,whole_splice
49,,,,,,whole_splice
50,,,,,,whole_splice
51,,,,,,whole_splice
52,,,,,,whole_splice
53,,,,,,whole_splice
54,,,,,,whole_splice
55,,,,,,whole_splice
56,,,,,,whole_splice
57,,,,,,whole_splice
58,,,,,,whole_splice
59,,,,,,whole_splice
60,,,,,,whole_splice
61,,,,,,whole_splice
62,,,,,,whole_splice
63,,,,,,whole_splice
64,,,,,,whole_splice
65,,,,,,whole_splice
66,,,,,,whole_splice
67,,,,,,whole_splice
68,,,,,,whole_splice
69,,,,,,whole_splice
70,,,,,,whole_splice
71,,,,,,whole_splice
72,,,,,,whole_splice
73,,,,,,whole_splice
74,,,,,,whole_splice
75,,,,,,whole_splice
76,,,,,,whole_splice
77,,,,,,whole_splice
78,,,,,,whole_splice
79,,,,,,whole_splice
80,,,,,,whole_splice
81,,,,,,whole_splice
82,,,,,,whole_splice
83,,,,,,whole_splice
84,,,,,,whole_splice
85,,,,,,whole_splice
86,,,,,,whole_splice
87,,,,,,whole_splice
88,,,,,,whole_splice
89,,,,,,whole_splice
90,,,,,,whole_splice
91,,,,,,whole_splice
92,,,,,,whole_splice
93,,,,,,whole_splice
94,,,,,,whole_splice
95,,,,,,whole_splice
96,,,,,,whole_splice
97,,,,,,whole_splice
98,,,,,,whole_splice
99,,,,,,whole_splice
100,,,,,,whole_splice
101,,,,,,whole_splice
102,,,,,,whole_splice
103,,,,,,whole_splice
104,,,,,,whole_splice
105,,,,,,whole_splice
106,,,,,,whole_splice
107,,,,,,whole_splice
108,,,,,,whole_splice
109,,,,,,whole_splice
110,,,,,,whole_splice
111,,,,,,whole_splice
112,,,,,,whole_splice
113,,,,,,whole_splice
114,,,,,,whole_splice
115,,,,,,whole_splice
116,,,,,,whole_splice
117,,,,,,whole_splice
118,,,,,,whole_splice
119,,,,,,whole_splice
120,,,,,,whole_splice
121,,,,,,whole_splice
122,,,,,,whole_splice
123,,,,,,whole_splice
124,,,,,,whole_splice
125,,,,,,whole_splice
126,,,,,,whole_splice
127,,,,,,whole_splice
128,,,,,,whole_splice
129,,,,,,whole_splice
130,,,,,,whole_splice
131,,,,,,whole_splice
132,,,,,,whole_splice
133,,,,,,whole_splice
134,,,,,,whole_splice
135,,,,,,whole_splice
136,,,,,,whole_splice
137,,,,,,whole_splice
138,,,,,,whole_splice
139,,,,,,whole_splice
140,,,,,,whole_splice
141,,,,,,whole_splice
142,,,,,,whole_splice
143,,,,,,whole_splice
144,,,,,,whole_splice
145,,,,,,whole_splice
146,,,,,,whole_splice
147,,,,,,whole_splice
148,,,,,,whole_splice
149,,,,,,whole_splice
150,,,,,,whole_splice
151,,,,,,whole_splice
152,,,,,,whole_splice
153,,,,,,whole_splice
154,,,,,,whole_splice
155,,,,,,whole_splice
156,,,,,,whole_splice
157,,,,,,whole_splice
158,,,,,,whole_splice
159,,,,,,whole_splice
160,,,,,,whole_splice
161,,,,,,whole_splice
162,,,,,,whole_splice
163,,,,,,whole_splice
164,,,,,,whole_splice
165,,,,,,whole_splice
166,,,,,,whole_splice
167,,,,,,whole_splice
168,,,,,,whole_splice
169,,,,,,whole_splice
170,,,,,,whole_splice
171,,,,,,whole_splice
172,,,,,,whole_splice
173,,,,,,whole_splice
174,,,,,,whole_splice
175,,,,,,whole_splice
176,,,,,,whole_splice
177,,,,,,whole_splice
178,,,,,,whole_splice
179,,,,,,whole_splice
180,,,,,,whole_splice
181,,,,,,whole_splice
182,,,,,,whole_splice
183,,,,,,whole_splice
184,,,,,,whole_splice
185,,,,,,whole_splice
186,,,,,,whole_splice
187,,,,,,whole_splice
188,,,,,,whole_splice
189,,,,,,whole_splice
190,,,,,,whole_splice
191,,,,,,whole_splice
192,,,,,,whole_splice
193,,,,,,whole_splice
194,,,,,,whole_splice
195,,,,,,whole_splice
196,,,,,,whole_splice
197,,,,,,whole_splice
198,,,,,,whole_splice
199,,,,,,whole_splice
200,1023,1,1,480000,10000,gene
201,1023,1,1,480000,10000,gene
202,1023,1,1,480000,10000,gene
203,1023,1,1,480000,10000,gene
204,1022,0.997969389,0.993920529,477081.854,9939.20529,gene
205,1022,0.997969389,0.993920529,477081.854,9939.20529,gene
206,1022,0.997969389,0.993920529,477081.854,9939.20529,gene
207,1022,0.997969389,0.993920529,477081.854,9939.20529,gene
208,1021,0.995942891,0.987877986,474181.433,9878.77986,gene
209,1021,0.995942891,0.987877986,474181.433,9878.77986,gene
210,1021,0.995942891,0.987877986,474181.433,9878.77986,gene
211,1021,0.995942891,0.987877986,474181.433,9878.77986,gene
212,1020,0.993920505,0.981872171,471298.642,9818.72171,gene
213,1020,0.993920505,0.981872171,471298.642,9818.72171,gene
214,1020,0.993920505,0.981872171,471298.642,9818.72171,gene
215,1020,0.993920505,0.981872171,471298.642,9818.72171,gene
216,1019,0.991902232,0.975902887,468433.386,9759.02887,gene
217,1019,0.991902232,0.975902887,468433.386,9759.02887,gene
218,1019,0.991902232,0.975902887,468433.386,9759.02887,gene
